1850	-0.24
1851	-0.25
1852	-0.27
1853	-0.15
1854	-0.05
1855	-0.16
1856	-0.29
1857	-0.32
1858	-0.19
1859	-0.04
1860	-0.19
1861	-0.27
1862	-0.27
1863	-0.12
1864	-0.17
1865	-0.17
1866	-0.06
1867	-0.2
1868	-0.09
1869	-0.14
1870	-0.04
1871	0
1872	-0.2
1873	-0.25
1874	-0.28
1875	-0.21
1876	-0.15
1877	0.04
1878	0.27
1879	-0.03
1880	-0.1
1881	-0.07
1882	-0.01
1883	-0.17
1884	-0.3
1885	-0.26
1886	-0.26
1887	-0.26
1888	-0.33
1889	0.06
1890	-0.22
1891	-0.2
1892	-0.26
1893	-0.28
1894	-0.15
1895	-0.3
1896	-0.15
1897	-0.13
1898	-0.47
1899	-0.3
1900	-0.03
1901	0.04
1902	-0.26
1903	-0.16
1904	-0.53
1905	-0.36
1906	-0.19
1907	-0.25
1908	-0.51
1909	-0.52
1910	-0.51
1911	-0.58
1912	-0.32
1913	-0.39
1914	-0.18
1915	-0.05
1916	-0.26
1917	-0.64
1918	-0.28
1919	-0.19
1920	-0.11
1921	-0.23
1922	-0.11
1923	-0.33
1924	-0.07
1925	-0.26
1926	0.09
1927	-0.33
1928	-0.23
1929	-0.31
1930	-0.08
1931	-0.06
1932	-0.13
1933	-0.25
1934	-0.3
1935	-0.13
1936	-0.2
1937	-0.18
1938	0.06
1939	-0.16
1940	0.13
1941	0.11
1942	0.08
1943	-0.02
1944	0.3
1945	0.09
1946	0.02
1947	0.05
1948	-0.21
1949	0.04
1950	-0.08
1951	-0.16
1952	-0.03
1953	0.15
1954	-0.14
1955	-0.29
1956	-0.16
1957	-0.09
1958	0.12
1959	0.19
1960	-0.25
1961	0.1
1962	0.16
1963	-0.13
1964	-0.15
1965	-0.11
1966	-0.03
1967	0.05
1968	0.17
1969	0.08
1970	0.07
1971	-0.09
1972	0.06
1973	0.34
1974	-0.01
1975	0.11
1976	-0.13
1977	0.24
1978	0.22
1979	0.2
1980	0.31
1981	0.45
1982	0.11
1983	0.44
1984	0.28
1985	0.25
1986	0.33
1987	0.15
1988	0.46
1989	0.36
1990	0.78
1991	0.38
1992	0.45
1993	0.38
1994	0.3
1995	0.49
1996	0.36
1997	0.51
1998	0.68
1999	0.39
2000	0.59
2001	0.57
2002	0.85
2003	0.61
2004	0.66
2005	0.76
2006	0.67
2007	0.69
2008	0.74
2009	0.54
2010	0.9
2011	0.68
2012	0.54
2013	0.68
2014	0.82
2015	0.97
2016	1.35
2017	1.17
2018	0.93
2019	1.16
2020	1.16
2021	0.88
2022	1.11
2023	1.24
